# Power (W),Signal (arb)
8.300000000000000433e-02,1.000000000000000000e+00
6.900000000000000577e-02,9.241019940986260339e-01
5.700000000000000205e-02,8.383142107667620468e-01
7.199999999999999456e-02,9.253944810135560362e-01
4.200000000000000261e-02,7.639991906422080037e-01
3.200000000000000067e-02,6.944257488663230227e-01
8.400000000000000522e-02,1.000000000000000000e+00
2.299999999999999961e-02,6.062411366588370543e-01
1.499999999999999944e-02,4.574457326775380195e-01
5.000000000000000104e-03,1.030563255466479949e-01
2.000000000000000042e-03,2.469971321647650153e-02
0.000000000000000000e+00,1.461391782769369866e-04
1.000000000000000021e-02,2.889671350524750104e-01
4.000000000000000083e-02,7.574815952318869616e-01
6.099999999999999867e-02,8.980389875945370415e-01
8.300000000000000433e-02,1.000000000000000000e+00
