# Power (W),+-,Signal (arb),+-
5.699999999999999512e-01,1.000000000000000021e-02,4.820607330000000190e-01,1.806779999999999844e-02
3.499999999999999778e-01,1.000000000000000021e-02,5.118000000000000327e-01,4.964500000000000163e-02
2.099999999999999922e-01,5.000000000000000104e-03,3.623425579999999813e-01,1.906000000000000055e-02
1.100000000000000006e-01,1.000000000000000021e-02,1.714483480000000004e-01,1.596600000000000102e-02
5.000000000000000278e-02,5.000000000000000104e-03,9.992174839999999614e-02,7.171982000000000357e-03
