# Power (W),+-,Signal (arb),+-
1.870000000000000134e-02,4.000000000000000192e-04,1.003379749999999904e+00,3.431137999999999810e-03
1.469999999999999953e-02,4.000000000000000192e-04,9.901444190000000534e-01,6.456168099999999577e-02
1.149999999999999981e-02,4.000000000000000192e-04,9.042510419999999494e-01,2.605232400000000170e-02
8.399999999999999481e-03,4.000000000000000192e-04,7.888054749999999782e-01,3.813191700000000128e-02
5.100000000000000366e-03,2.000000000000000096e-04,7.210911380000000204e-01,4.576912100000000289e-02
3.200000000000000153e-03,2.000000000000000096e-04,5.463581600000000371e-01,1.730921900000000069e-02
2.000000000000000042e-03,2.999999999999999737e-04,3.500131450000000255e-01,2.106716900000000017e-02
1.100000000000000066e-03,2.999999999999999737e-04,2.115142210000000023e-01,5.202848000000000368e-03
6.999999999999999929e-04,2.999999999999999737e-04,6.962728999999999446e-02,5.628735000000000162e-03
