# Power (W),Signal (arb)
1.540000000000000036e+00,9.431106345082850284e-01
1.570000000000000062e+00,9.909245916912530205e-01
1.389999999999999902e+00,9.650957189362729949e-01
1.149999999999999911e+00,9.297643609658630126e-01
9.200000000000000400e-01,8.626017811732360485e-01
1.419999999999999929e+00,9.649139636213369675e-01
8.100000000000000533e-01,8.878469693335020452e-01
7.189999999999999725e-01,8.525510969245799764e-01
4.899999999999999911e-01,7.918583331758599630e-01
3.190000000000000058e-01,6.916212867401180242e-01
5.299999999999999850e-02,3.262774766072970012e-01
1.530000000000000027e+00,9.933832891182270419e-01
1.040000000000000036e+00,8.897582370619180336e-01
4.000000000000000083e-03,6.012980310658300187e-02
0.000000000000000000e+00,4.093192200812109660e-02
1.120000000000000023e-01,4.640744992917549827e-01
6.129999999999999893e-01,8.352434711014570246e-01
1.560000000000000053e+00,1.000000000000000000e+00
1.270000000000000018e+00,9.568387635878570219e-01
1.010000000000000009e+00,9.118542525783019936e-01
8.930000000000000160e-01,9.001482063973990089e-01
6.470000000000000195e-01,8.383171454399499511e-01
5.600000000000000533e-01,7.956702764871249611e-01
2.369999999999999885e-01,6.155668045018199974e-01
1.570000000000000062e+00,1.000000000000000000e+00
