# Irradiance (W/cm²),+-,Signal (arb),+-
0.000000000000000000e+00,0.000000000000000000e+00,9.272252999999999398e-03,2.892460000000000018e-04
7.477837000000000444e+03,3.738919999999999959e+02,2.537554900000000072e-02,4.823019999999999911e-04
1.652995599999999831e+04,8.264979999999999336e+02,6.041295599999999683e-02,7.567850000000000531e-04
4.447345300000000134e+04,2.223672999999999774e+03,1.473018010000000100e-01,1.229173000000000071e-03
7.556551300000000629e+04,3.778276000000000295e+03,2.285187130000000122e-01,1.584242999999999936e-03
1.574281529999999912e+05,7.871407999999999447e+03,3.842786490000000277e-01,2.180744999999999992e-03
3.148563059999999823e+05,1.574281500000000051e+04,6.187135969999999485e-01,2.992264000000000122e-03
5.942912780000000494e+05,2.971456399999999849e+04,8.322428109999999712e-01,3.692211999999999838e-03
1.046897217999999993e+06,5.234486099999999715e+04,1.000000000000000000e+00,4.228487999999999865e-03
