# Irradiance (W/cm²),+-,Signal (arb),+-
0.000000000000000000e+00,0.000000000000000000e+00,7.092050799999999322e-02,9.670119999999999497e-04
4.786614999999999782e+03,2.393309999999999889e+02,3.656560640000000029e-01,2.479560000000000011e-03
1.100921399999999994e+04,5.504610000000000127e+02,5.348962940000000499e-01,3.179375999999999817e-03
2.201842799999999988e+04,1.100920999999999822e+03,5.533223280000000299e-01,3.253025000000000101e-03
4.451551799999999639e+04,2.225775999999999840e+03,6.001965089999999892e-01,3.438753000000000122e-03
9.094568200000000070e+04,4.547284000000000560e+03,8.018273830000000046e-01,4.217592000000000042e-03
1.723181340000000200e+05,8.615907000000001062e+03,8.633916809999999664e-01,4.450650999999999913e-03
2.608705080000000016e+05,1.304352499999999964e+04,1.000000000000000000e+00,4.962295000000000247e-03
