# Power (W),Signal (arb)
5.000000000000000278e-02,9.740618101545249763e-01
2.199999999999999872e-02,9.348785871964679917e-01
1.700000000000000122e-02,8.543046357615889930e-01
1.379999999999999977e-02,8.427152317880800547e-01
0.000000000000000000e+00,2.097130242825610141e-02
1.069999999999999988e-03,5.286975717439289513e-01
4.199999999999999740e-03,7.455849889624720506e-01
5.000000000000000278e-02,1.000000000000000000e+00
6.000000000000000125e-03,7.058498896247239474e-01
