# Irradiance (W/cm²),Signal (arb),+-
2.782100000000000000e+04,1.000000000000000000e+00,7.000000000000000146e-03
2.225700000000000000e+04,8.535000000000000364e-01,6.599999999999999964e-03
1.391100000000000000e+04,5.161000000000000032e-01,5.400000000000000286e-03
6.955000000000000000e+03,4.815999999999999726e-01,5.400000000000000286e-03
2.782000000000000000e+03,3.486000000000000210e-01,4.700000000000000185e-03
3.199400000000000000e+04,1.035800000000000054e+00,8.300000000000000086e-03
2.503900000000000000e+04,9.622000000000000552e-01,8.200000000000000691e-03
1.808400000000000000e+04,7.882000000000000117e-01,7.599999999999999985e-03
0.000000000000000000e+00,1.000000000000000048e-04,2.999999999999999737e-04
