# Irradiance (W/cm²),+-,Signal (arb),+-
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000048e-04,3.999999999999999819e-06
8.400000000000000000e+04,4.000000000000000000e+03,2.469999999999999973e-02,4.000000000000000192e-04
3.370000000000000000e+05,1.700000000000000000e+04,1.376999999999999891e-01,1.100000000000000066e-03
6.310000000000000000e+05,3.200000000000000000e+04,2.576999999999999846e-01,1.600000000000000077e-03
1.157000000000000000e+06,5.800000000000000000e+04,3.538999999999999924e-01,1.899999999999999996e-03
1.789000000000000000e+06,8.900000000000000000e+04,4.395999999999999908e-01,2.200000000000000133e-03
2.210000000000000000e+06,1.100000000000000000e+05,6.087000000000000188e-01,2.700000000000000143e-03
2.273000000000000000e+06,1.140000000000000000e+05,6.673000000000000043e-01,2.899999999999999800e-03
5.261000000000000000e+06,2.630000000000000000e+05,1.000000000000000000e+00,3.899999999999999821e-03
