# Irradiance (W/cm²),Signal (arb)
8.359653576999999583e+06,1.000000000000000000e+00
8.102433466000000015e+06,9.739378979999999686e-01
3.150946348000000231e+06,8.275171569999999477e-01
5.594537394000000320e+06,8.977537249999999469e-01
6.816332916000000201e+06,9.397378499999999857e-01
7.395078163999999873e+06,9.223327860000000156e-01
7.395078163999999873e+06,9.481992240000000072e-01
0.000000000000000000e+00,3.703645500000000285e-02
2.314980990000000224e+06,8.108771359999999984e-01
3.684678075999999885e+06,9.125237510000000496e-01
1.774818759000000078e+06,7.750653389999999643e-01
1.241087030999999959e+06,7.652944619999999532e-01
9.002703852000000188e+05,7.143815660000000234e-01
5.401622310999999754e+05,6.458565240000000429e-01
3.215251376000000164e+05,5.245191319999999990e-01
1.286100549999999930e+04,9.427151200000000175e-02
1.157490494999999937e+05,3.601173069999999976e-01
8.359653576999999583e+06,9.814181159999999515e-01
5.980367559000000358e+06,9.270269859999999973e-01
4.713558516999999993e+06,8.831172800000000045e-01
4.179826788000000175e+06,8.596707900000000180e-01
