# Irradiance (W/cm²),Signal (arb)
5.182360030000000261e+05,1.000000000000000000e+00
3.880629785000000265e+05,9.738743850000000091e-01
4.592897276999999885e+05,9.826825080000000101e-01
2.947313760999999940e+05,8.764190929999999824e-01
2.431533852999999945e+05,7.806656269999999731e-01
1.596461620999999868e+05,6.033204770000000217e-01
0.000000000000000000e+00,2.911039999999999830e-04
4.912189601999999722e+05,9.952210360000000033e-01
9.824379203000000416e+03,4.163465400000000011e-02
3.684142201000000205e+04,2.045263999999999971e-01
5.894627522000000317e+04,3.971884090000000200e-01
