# Irradiance (W/cm²),Signal (arb)
1.978256483000000007e+06,1.000000000000000000e+00
1.683622537999999942e+06,9.735357540000000309e-01
1.380570482000000076e+06,9.791131730000000033e-01
1.022800692000000039e+06,9.744077829999999718e-01
7.660482550000000047e+05,9.657455660000000552e-01
4.377418599999999860e+05,9.270444110000000126e-01
2.483343244000000122e+05,8.761919120000000172e-01
1.431079157999999879e+05,8.261158659999999765e-01
1.262716904000000068e+04,2.561209850000000232e-01
0.000000000000000000e+00,0.000000000000000000e+00
4.629961980999999651e+04,6.900717570000000078e-01
8.418112691999999515e+04,7.654226960000000135e-01
2.525433808000000136e+04,5.610842099999999721e-01
3.325154514000000199e+05,9.279221500000000011e-01
6.018950574999999953e+05,9.525426550000000159e-01
