# Irradiance (W/cm²),Signal (arb)
2.261000000000000000e+05,5.899999999999999689e-01
8.117000000000000000e+04,4.600000000000000200e-01
0.000000000000000000e+00,2.000000000000000042e-02
8.697000000000000000e+05,7.600000000000000089e-01
5.218000000000000000e+05,6.600000000000000311e-01
1.867000000000000000e+06,8.499999999999999778e-01
3.711000000000000000e+06,8.199999999999999512e-01
