# Power (W),Signal (arb)
3.830000000000000071e-01,7.807326782129410114e-01
3.459999999999999742e-01,7.988129956996099512e-01
2.590000000000000080e-01,8.242369869088710388e-01
3.699999999999999956e-01,8.620027414726370019e-01
1.049999999999999961e-01,8.802083866341909868e-01
1.899999999999999953e-02,7.918618384784400499e-01
0.000000000000000000e+00,5.097408121999230483e-04
7.799999999999999989e-02,9.359572313852749792e-01
2.089999999999999913e-01,9.704303669230710527e-01
2.000000000000000042e-03,5.998856536904749737e-01
3.699999999999999956e-01,1.000000000000000000e+00
1.509999999999999953e-01,9.464016443137329704e-01
